cnn6cequal
Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.85
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.09
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 12.50
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 9.28
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 12.50
Round 60 validation accuracy: 19.51
Round 65 validation accuracy: 15.15
Round 70 validation accuracy: 16.67
Round 75 validation accuracy: 19.89
Round 80 validation accuracy: 21.21
Round 85 validation accuracy: 17.61
Round 90 validation accuracy: 27.84
Round 95 validation accuracy: 26.14
Round 100 validation accuracy: 31.06
Round 105 validation accuracy: 31.06
Round 110 validation accuracy: 21.78
Round 115 validation accuracy: 27.65
Round 120 validation accuracy: 32.58
Round 125 validation accuracy: 39.02
Round 130 validation accuracy: 33.33
Round 135 validation accuracy: 38.45
Round 140 validation accuracy: 38.07
Round 145 validation accuracy: 42.61
Round 150 validation accuracy: 41.29
Round 155 validation accuracy: 43.56
Round 160 validation accuracy: 45.45
Round 165 validation accuracy: 47.73
Round 170 validation accuracy: 48.30
Round 175 validation accuracy: 47.73
Round 180 validation accuracy: 39.96
Round 185 validation accuracy: 48.11
Round 190 validation accuracy: 49.43
Round 195 validation accuracy: 52.84
Round 200 validation accuracy: 54.73
Round 205 validation accuracy: 58.71
Round 210 validation accuracy: 57.77
Round 215 validation accuracy: 60.23
Round 220 validation accuracy: 56.25
Round 225 validation accuracy: 57.58
Round 230 validation accuracy: 57.58
Round 235 validation accuracy: 61.17
Round 240 validation accuracy: 60.61
Round 245 validation accuracy: 58.52
Round 250 validation accuracy: 58.14
Round 255 validation accuracy: 59.28
Round 260 validation accuracy: 62.88
Round 265 validation accuracy: 62.12
Round 270 validation accuracy: 61.55
Round 275 validation accuracy: 63.26
Round 280 validation accuracy: 63.45
Round 285 validation accuracy: 62.31
Round 290 validation accuracy: 64.02
Round 295 validation accuracy: 62.12
Round 300 validation accuracy: 62.88

cnn6casis
Initial validation accuracy: 40.41%
Round 5 validation accuracy: 1.24
Round 10 validation accuracy: 9.04
Round 15 validation accuracy: 8.93
Round 20 validation accuracy: 0.34
Round 25 validation accuracy: 31.74
Round 30 validation accuracy: 31.76
Round 35 validation accuracy: 2.52
Round 40 validation accuracy: 23.66
Round 45 validation accuracy: 41.34
Round 50 validation accuracy: 2.28
Round 55 validation accuracy: 5.14
Round 60 validation accuracy: 2.53
Round 65 validation accuracy: 5.23
Round 70 validation accuracy: 4.55
Round 75 validation accuracy: 10.39
Round 80 validation accuracy: 31.73
Round 85 validation accuracy: 3.63
Round 90 validation accuracy: 13.74
Round 95 validation accuracy: 19.30
Round 100 validation accuracy: 8.89
Round 105 validation accuracy: 6.38
Round 110 validation accuracy: 6.34
Round 115 validation accuracy: 6.33
Round 120 validation accuracy: 2.66
Round 125 validation accuracy: 3.23
Round 130 validation accuracy: 20.35
Round 135 validation accuracy: 22.98
Round 140 validation accuracy: 8.86
Round 145 validation accuracy: 10.67
Round 150 validation accuracy: 9.37
Round 155 validation accuracy: 25.33
Round 160 validation accuracy: 25.56
Round 165 validation accuracy: 20.71
Round 170 validation accuracy: 21.00
Round 175 validation accuracy: 12.86
Round 180 validation accuracy: 16.06
Round 185 validation accuracy: 27.10
Round 190 validation accuracy: 31.09
Round 195 validation accuracy: 24.85
Round 200 validation accuracy: 17.25
Round 205 validation accuracy: 27.58
Round 210 validation accuracy: 14.99
Round 215 validation accuracy: 21.03
Round 220 validation accuracy: 15.95
Round 225 validation accuracy: 27.05
Round 230 validation accuracy: 23.07
Round 235 validation accuracy: 19.12
Round 240 validation accuracy: 25.53
Round 245 validation accuracy: 23.79
Round 250 validation accuracy: 21.63
Round 255 validation accuracy: 33.24
Round 260 validation accuracy: 30.44
Round 265 validation accuracy: 26.11
Round 270 validation accuracy: 25.27
Round 275 validation accuracy: 26.84
Round 280 validation accuracy: 22.64
Round 285 validation accuracy: 25.59
Round 290 validation accuracy: 27.48
Round 295 validation accuracy: 25.34
Round 300 validation accuracy: 19.11

Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.28
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 9.09
Round 40 validation accuracy: 9.09


Initial validation accuracy: 6.82%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 14.58
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 12.12
Round 40 validation accuracy: 18.75
Round 45 validation accuracy: 9.09
Round 50 validation accuracy: 14.02
Round 55 validation accuracy: 18.94
Round 60 validation accuracy: 18.75
Round 65 validation accuracy: 15.53
Round 70 validation accuracy: 18.56
Round 75 validation accuracy: 18.94
Round 80 validation accuracy: 16.48
