Initial validation accuracy: 9.62%
Round 2 validation accuracy: 18.97
Round 4 validation accuracy: 22.56
Round 6 validation accuracy: 24.55
Round 8 validation accuracy: 27.14
Round 10 validation accuracy: 30.52
Round 12 validation accuracy: 33.52
Round 14 validation accuracy: 36.15
Round 16 validation accuracy: 41.16
Round 18 validation accuracy: 42.88
Round 20 validation accuracy: 42.66
Round 22 validation accuracy: 45.83
Round 24 validation accuracy: 44.99
Round 26 validation accuracy: 47.10
Round 28 validation accuracy: 47.61
Round 30 validation accuracy: 47.27
Round 32 validation accuracy: 47.96
Round 34 validation accuracy: 49.30
Round 36 validation accuracy: 49.21
Round 38 validation accuracy: 50.08
Round 40 validation accuracy: 51.17
Round 42 validation accuracy: 50.44
Round 44 validation accuracy: 51.17
Round 46 validation accuracy: 52.17
Round 48 validation accuracy: 52.40
Round 50 validation accuracy: 52.23
Round 52 validation accuracy: 52.56
Round 54 validation accuracy: 53.29
Round 56 validation accuracy: 53.25
Round 58 validation accuracy: 54.39
Round 60 validation accuracy: 54.26
Round 62 validation accuracy: 54.79
Round 64 validation accuracy: 54.31
Round 66 validation accuracy: 55.23
Round 68 validation accuracy: 54.88
Round 70 validation accuracy: 55.47
Round 72 validation accuracy: 55.54
Round 74 validation accuracy: 56.11
Round 76 validation accuracy: 58.66
Round 78 validation accuracy: 60.08
Round 80 validation accuracy: 60.89
