
Initial validation accuracy: 9.62%
Round 2 validation accuracy: 10.00
Round 4 validation accuracy: 16.03
Round 6 validation accuracy: 10.42
Round 8 validation accuracy: 13.38
Round 10 validation accuracy: 20.87
Round 12 validation accuracy: 28.30
Round 14 validation accuracy: 27.49
Round 16 validation accuracy: 30.95
Round 18 validation accuracy: 24.47
Round 20 validation accuracy: 21.61
Round 22 validation accuracy: 39.02
Round 24 validation accuracy: 38.40
Round 26 validation accuracy: 38.44
Round 28 validation accuracy: 39.24
Round 30 validation accuracy: 39.90
Round 32 validation accuracy: 42.40
Round 34 validation accuracy: 42.89
Round 36 validation accuracy: 42.16
Round 38 validation accuracy: 38.33
Round 40 validation accuracy: 47.08
Round 42 validation accuracy: 47.85
Round 44 validation accuracy: 44.25
Round 46 validation accuracy: 48.70
Round 48 validation accuracy: 42.63
Round 50 validation accuracy: 50.19
Round 52 validation accuracy: 47.90
Round 54 validation accuracy: 46.24
Round 56 validation accuracy: 49.56
Round 58 validation accuracy: 50.06
Round 60 validation accuracy: 48.68
Round 62 validation accuracy: 52.33
Round 64 validation accuracy: 51.01
Round 66 validation accuracy: 52.32
Round 68 validation accuracy: 49.58
Round 70 validation accuracy: 47.55
Round 72 validation accuracy: 50.79
Round 74 validation accuracy: 51.90
Round 76 validation accuracy: 48.32
Round 78 validation accuracy: 55.24
Round 80 validation accuracy: 53.31
