Initial validation accuracy: 9.62%
Round 2 validation accuracy: 19.19
Round 4 validation accuracy: 25.83
Round 6 validation accuracy: 31.40
Round 8 validation accuracy: 35.01
Round 10 validation accuracy: 31.50
Round 12 validation accuracy: 36.62
Round 14 validation accuracy: 40.25
Round 16 validation accuracy: 38.58
Round 18 validation accuracy: 45.58
Round 20 validation accuracy: 40.50
Round 22 validation accuracy: 44.33
Round 24 validation accuracy: 41.64
Round 26 validation accuracy: 41.30
Round 28 validation accuracy: 49.31
Round 30 validation accuracy: 41.37
Round 32 validation accuracy: 47.05
Round 34 validation accuracy: 48.29
Round 36 validation accuracy: 48.29
Round 38 validation accuracy: 45.50
Round 40 validation accuracy: 49.24


Initial validation accuracy: 9.62%
        Round 2 validation accuracy: 16.22%
        Round 4 validation accuracy: 26.37%
        Round 6 validation accuracy: 31.14%
        Round 8 validation accuracy: 34.20%
        Round 10 validation accuracy: 33.45%
        Round 12 validation accuracy: 37.45%
        Round 14 validation accuracy: 40.49%
        Round 16 validation accuracy: 38.12%
        Round 18 validation accuracy: 43.95%
        Round 20 validation accuracy: 41.16%
        Round 22 validation accuracy: 40.63%
        Round 24 validation accuracy: 41.59%
        Round 26 validation accuracy: 42.45%
        Round 28 validation accuracy: 47.40%
        Round 30 validation accuracy: 41.63%
        Round 32 validation accuracy: 47.46%
        Round 34 validation accuracy: 44.51%
        Round 36 validation accuracy: 49.02%
        Round 38 validation accuracy: 46.85%
        Round 40 validation accuracy: 46.52%
        Round 42 validation accuracy: 51.19%
        Round 44 validation accuracy: 50.79%
        Round 46 validation accuracy: 51.38%
        Round 48 validation accuracy: 45.72%
        Round 50 validation accuracy: 51.55%
        Round 52 validation accuracy: 50.03%
        Round 54 validation accuracy: 49.72%
        Round 56 validation accuracy: 50.14%
        Round 58 validation accuracy: 49.65%
        Round 60 validation accuracy: 51.36%
        Round 62 validation accuracy: 53.83%
        Round 64 validation accuracy: 49.58%
        Round 66 validation accuracy: 53.18%
        Round 68 validation accuracy: 50.68%
        Round 70 validation accuracy: 50.47%
        Round 72 validation accuracy: 50.50%
        Round 74 validation accuracy: 49.85%
        Round 76 validation accuracy: 46.55%
        Round 78 validation accuracy: 51.44%
        Round 80 validation accuracy: 52.36%
Initial validation accuracy: 9.62%
Round 2 validation accuracy: 15.85
Round 4 validation accuracy: 18.52
Round 6 validation accuracy: 20.39
Round 8 validation accuracy: 27.50
Round 10 validation accuracy: 21.11
Round 12 validation accuracy: 26.17
Round 14 validation accuracy: 26.98
Round 16 validation accuracy: 26.53
Round 18 validation accuracy: 32.11
Round 20 validation accuracy: 26.44
Round 22 validation accuracy: 28.87
Round 24 validation accuracy: 30.62
Round 26 validation accuracy: 33.07
Round 28 validation accuracy: 33.95
Round 30 validation accuracy: 30.80
Round 32 validation accuracy: 36.57
Round 34 validation accuracy: 36.35
Round 36 validation accuracy: 38.05
Round 38 validation accuracy: 32.20
Round 40 validation accuracy: 36.09
Round 42 validation accuracy: 41.57
Round 44 validation accuracy: 40.88
Round 46 validation accuracy: 40.40
Round 48 validation accuracy: 38.37
Round 50 validation accuracy: 40.28
Round 52 validation accuracy: 40.22
Round 54 validation accuracy: 40.10
Round 56 validation accuracy: 44.48
Round 58 validation accuracy: 38.07
Round 60 validation accuracy: 44.85
Round 62 validation accuracy: 41.88
Round 64 validation accuracy: 41.87
Round 66 validation accuracy: 43.09
Round 68 validation accuracy: 43.06
Round 70 validation accuracy: 43.12
Round 72 validation accuracy: 42.11
Round 74 validation accuracy: 43.31
Round 76 validation accuracy: 39.04
Round 78 validation accuracy: 46.72
Round 80 validation accuracy: 48.76

Initial validation accuracy: 9.62%
Round 2 validation accuracy: 10.00
Round 4 validation accuracy: 14.02
Round 6 validation accuracy: 11.70
Round 8 validation accuracy: 12.83
Round 10 validation accuracy: 17.56
Round 12 validation accuracy: 20.27
Round 14 validation accuracy: 25.66
Round 16 validation accuracy: 23.98
Round 18 validation accuracy: 32.69
Round 20 validation accuracy: 30.06
Round 22 validation accuracy: 38.87
Round 24 validation accuracy: 34.43
Round 26 validation accuracy: 37.89
Round 28 validation accuracy: 35.87
Round 30 validation accuracy: 35.60
Round 32 validation accuracy: 41.49
Round 34 validation accuracy: 43.95
Round 36 validation accuracy: 45.42
Round 38 validation accuracy: 38.91
Round 40 validation accuracy: 45.77
Round 42 validation accuracy: 47.04
Round 44 validation accuracy: 46.11
Round 46 validation accuracy: 50.13
Round 48 validation accuracy: 45.53
Round 50 validation accuracy: 45.61
Round 52 validation accuracy: 47.22
Round 54 validation accuracy: 47.10
Round 56 validation accuracy: 47.95
Round 58 validation accuracy: 50.21
Round 60 validation accuracy: 47.65
Round 62 validation accuracy: 51.19
Round 64 validation accuracy: 45.77
Round 66 validation accuracy: 52.57
Round 68 validation accuracy: 45.60
Round 70 validation accuracy: 49.52
Round 72 validation accuracy: 43.24
Round 74 validation accuracy: 47.41
Round 76 validation accuracy: 46.59
Round 78 validation accuracy: 52.04
Round 80 validation accuracy: 51.33

Initial validation accuracy: 9.62%
Round 2 validation accuracy: 16.04
Round 4 validation accuracy: 18.60
Round 6 validation accuracy: 20.31
Round 8 validation accuracy: 27.30
Round 10 validation accuracy: 21.32
Round 12 validation accuracy: 26.37
Round 14 validation accuracy: 27.53
Round 16 validation accuracy: 26.92
Round 18 validation accuracy: 31.86
Round 20 validation accuracy: 27.14
Round 22 validation accuracy: 29.38
Round 24 validation accuracy: 30.73
Round 26 validation accuracy: 32.91
Round 28 validation accuracy: 35.07
Round 30 validation accuracy: 31.03
Round 32 validation accuracy: 35.92
Round 34 validation accuracy: 35.82
Round 36 validation accuracy: 38.05
Round 38 validation accuracy: 32.63
Round 40 validation accuracy: 37.42
Round 42 validation accuracy: 41.84
Round 44 validation accuracy: 40.36
Round 46 validation accuracy: 41.07
Round 48 validation accuracy: 37.66
Round 50 validation accuracy: 40.43
Round 52 validation accuracy: 39.96
Round 54 validation accuracy: 40.71
Round 56 validation accuracy: 45.14
Round 58 validation accuracy: 37.28
Round 60 validation accuracy: 44.19
Round 62 validation accuracy: 41.98
Round 64 validation accuracy: 40.60
Round 66 validation accuracy: 42.93
Round 68 validation accuracy: 43.32
Round 70 validation accuracy: 43.85
Round 72 validation accuracy: 42.39
Round 74 validation accuracy: 43.18
Round 76 validation accuracy: 41.06
Round 78 validation accuracy: 45.83
Round 80 validation accuracy: 48.48
Round 82 validation accuracy: 45.56
Round 84 validation accuracy: 50.05
Round 86 validation accuracy: 48.24
Round 88 validation accuracy: 44.08
Round 90 validation accuracy: 41.73
Round 92 validation accuracy: 48.87
Round 94 validation accuracy: 47.50
Round 96 validation accuracy: 46.07
Round 98 validation accuracy: 43.92
Round 100 validation accuracy: 50.37
Round 102 validation accuracy: 46.22
Round 104 validation accuracy: 49.62
Round 106 validation accuracy: 47.35
Round 108 validation accuracy: 49.28
Round 110 validation accuracy: 50.17
Round 112 validation accuracy: 51.91
Round 114 validation accuracy: 52.26
Round 116 validation accuracy: 46.99
Round 118 validation accuracy: 43.51
Round 120 validation accuracy: 48.92
Round 122 validation accuracy: 48.18
Round 124 validation accuracy: 41.97
Round 126 validation accuracy: 50.85
Round 128 validation accuracy: 46.60
Round 130 validation accuracy: 51.40
Round 132 validation accuracy: 50.30
Round 134 validation accuracy: 47.28
Round 136 validation accuracy: 53.06
Round 138 validation accuracy: 50.03
Round 140 validation accuracy: 48.46
