
Initial validation accuracy: 9.62%
Round 2 validation accuracy: 45.99

Initial validation accuracy: 9.62%
Round 2 validation accuracy: 45.94
Round 4 validation accuracy: 46.28
Round 6 validation accuracy: 46.37
Round 8 validation accuracy: 46.46
Round 10 validation accuracy: 46.55
Round 12 validation accuracy: 46.48
Round 14 validation accuracy: 46.65
Round 16 validation accuracy: 46.60
Round 18 validation accuracy: 46.64
Round 20 validation accuracy: 47.69
Round 22 validation accuracy: 50.00
Round 24 validation accuracy: 52.92
Round 26 validation accuracy: 54.73
Round 28 validation accuracy: 55.61
Round 30 validation accuracy: 55.99
Round 32 validation accuracy: 59.11
Round 34 validation accuracy: 59.55
Round 36 validation accuracy: 59.36
Round 38 validation accuracy: 59.92
Round 40 validation accuracy: 60.59
Round 42 validation accuracy: 60.64
Round 44 validation accuracy: 61.17
Round 46 validation accuracy: 61.42
Round 48 validation accuracy: 61.81
Round 50 validation accuracy: 61.56
Round 52 validation accuracy: 62.26
Round 54 validation accuracy: 64.66
Round 56 validation accuracy: 64.24
Round 58 validation accuracy: 64.95
Round 60 validation accuracy: 65.98
Round 62 validation accuracy: 66.04
Round 64 validation accuracy: 66.17
Round 66 validation accuracy: 66.37
Round 68 validation accuracy: 66.57
Round 70 validation accuracy: 66.06
Round 72 validation accuracy: 66.67
Round 74 validation accuracy: 66.81
Round 76 validation accuracy: 67.94
Round 78 validation accuracy: 67.97
Round 80 validation accuracy: 67.86
Round 82 validation accuracy: 68.42
Round 84 validation accuracy: 68.21
Round 86 validation accuracy: 68.49
Round 88 validation accuracy: 68.85

Initial validation accuracy: 9.62%
Round 2 validation accuracy: 45.93
Round 4 validation accuracy: 46.23
Round 6 validation accuracy: 46.42
Round 8 validation accuracy: 46.45
Round 10 validation accuracy: 46.57
Round 12 validation accuracy: 46.61
Round 14 validation accuracy: 46.55
Round 16 validation accuracy: 46.63
Round 18 validation accuracy: 46.63
Round 20 validation accuracy: 47.43
Round 22 validation accuracy: 48.72
Round 24 validation accuracy: 53.79
Round 26 validation accuracy: 54.67
Round 28 validation accuracy: 56.70
Round 30 validation accuracy: 56.84
Round 32 validation accuracy: 57.38
Round 34 validation accuracy: 57.37
Round 36 validation accuracy: 58.07
Round 38 validation accuracy: 58.92
Round 40 validation accuracy: 58.99
Round 42 validation accuracy: 59.07
Round 44 validation accuracy: 59.51
Round 46 validation accuracy: 59.91
Round 48 validation accuracy: 59.61
Round 50 validation accuracy: 60.26
Round 52 validation accuracy: 62.44
Round 54 validation accuracy: 62.60
Round 56 validation accuracy: 63.42
Round 58 validation accuracy: 63.15
Round 60 validation accuracy: 63.24
Round 62 validation accuracy: 63.63
Round 64 validation accuracy: 63.63
Round 66 validation accuracy: 65.10
Round 68 validation accuracy: 64.96
Round 70 validation accuracy: 65.19
Round 72 validation accuracy: 65.54
Round 74 validation accuracy: 65.33
Round 76 validation accuracy: 65.96
Round 78 validation accuracy: 65.85
Round 80 validation accuracy: 65.76

Initial validation accuracy: 9.62%
Round 2 validation accuracy: 45.80
Round 4 validation accuracy: 46.06
Round 6 validation accuracy: 46.12
Round 8 validation accuracy: 46.35
Round 10 validation accuracy: 46.41
Round 12 validation accuracy: 46.53
Round 14 validation accuracy: 46.54
Round 16 validation accuracy: 46.57
Round 18 validation accuracy: 46.48
Round 20 validation accuracy: 46.56
Round 22 validation accuracy: 46.50
Round 24 validation accuracy: 47.84
Round 26 validation accuracy: 48.13
Round 28 validation accuracy: 49.17
Round 30 validation accuracy: 51.42
Round 32 validation accuracy: 54.22
Round 34 validation accuracy: 54.66
Round 36 validation accuracy: 54.88
Round 38 validation accuracy: 56.25
Round 40 validation accuracy: 58.25
Round 42 validation accuracy: 58.16
Round 44 validation accuracy: 59.08
Round 46 validation accuracy: 58.94
Round 48 validation accuracy: 59.09
Round 50 validation accuracy: 59.30
Round 52 validation accuracy: 59.40
Round 54 validation accuracy: 59.62
Round 56 validation accuracy: 59.79
Round 58 validation accuracy: 60.18
Round 60 validation accuracy: 60.15
Round 62 validation accuracy: 60.10
Round 64 validation accuracy: 60.18
Round 66 validation accuracy: 60.55
Round 68 validation accuracy: 60.61
Round 70 validation accuracy: 60.66
Round 72 validation accuracy: 60.97
Round 74 validation accuracy: 60.37
Round 76 validation accuracy: 60.78
Round 78 validation accuracy: 61.72
Round 80 validation accuracy: 62.45
